"","yr","UTM_E_km","UTM_N_km","est"
"519",2004,473.842,5083.373,2.85841282003648
"520",2007,473.579,5083.255,3.38211507439973
"521",2010,473.579,5083.255,3.69510402502736
"522",2011,473.579,5083.255,3.59900001285918
"523",2017,473.579,5083.255,2.12815088332886
"524",2018,473.579,5083.255,1.70551932392267
"525",2019,473.579,5083.255,2.75121330102691
"526",2020,473.579,5083.255,2.32534459848426
"527",2003,472.991,5083.264,4.06877868732398
"528",2016,470.602,5084.397,2.59639702124966
"529",2007,471.981,5084.801,3.24071607505498
"530",2002,470.969,5086.569,4.21383673581934
"531",2017,470.374,5086.477,2.42206731779459
"532",2004,471.799,5095.615,3.40028724556738
"533",2013,471.118,5097.163,2.09348739347926
"534",2001,474.425,5099.705,5.7486575291886
"535",2003,475.432,5101.078,3.99066283974984
"536",2010,475.615,5101.473,3.73332364109643
"537",1998,473.689,5101.311,2.05238020411158
"538",2003,474.822,5102.317,4.09697231202006
"539",2005,473.516,5101.916,3.16890997409425
"540",2000,472.866,5103.714,2.82685912760919
"541",2001,471.538,5104.305,5.09209366204223
"542",2012,472.855,5103.351,1.90533902949314
"543",2005,472.702,5100.856,3.26029104041972
"544",1998,474.291,5094.439,1.09837791920996
"545",2003,474.385,5095.28,3.93887211306939
"546",2002,474.974,5096.375,3.84670194485336
"547",2004,474.526,5095.629,3.45131211992703
"548",2013,475.905,5097.869,1.96023933180962
"549",1999,475.005,5097.881,1.3420242688375
"550",2000,475.228,5099.842,2.92715172610836
"551",2002,475.134,5097.272,3.64519632181187
"552",2011,475.578,5100.125,2.48585649346679
"553",2007,477.178,5093.845,2.61467741657215
"554",2010,477.178,5093.845,3.50300055816714
"555",2013,477.178,5093.845,2.00453585466372
"556",2016,477.178,5093.845,2.23463411741303
"557",2005,479.606,5095.272,2.95232467384016
"558",2006,479.418,5094.494,3.07886352130094
"559",2008,479.606,5095.272,2.99071825304895
"560",2011,479.606,5095.272,3.13719096858678
"561",2017,479.606,5095.272,1.97928627755766
"562",2005,478.852,5097.742,2.91869891049505
"563",2000,478.873,5098.826,2.69213789873844
"564",2005,479.244,5099.532,2.69885851368544
"565",2004,480.878,5094.134,3.53462721428823
"566",2002,482.063,5096.941,3.5408324517639
"567",2016,481.147,5095.305,2.53602442897446
"568",1999,482.865,5095.126,1.48237000731569
"569",2003,483.349,5095.509,3.87296067074464
"570",2006,483.405,5095.917,2.79933987980616
"571",2007,483.405,5095.917,2.56910560871773
"572",2010,483.405,5095.917,3.20685503265766
"573",2011,483.405,5095.917,2.92012353061906
"574",2013,483.405,5095.917,2.05081055321446
"575",2016,483.405,5095.917,2.39956624265252
"576",2017,483.405,5095.917,1.69086544120054
"577",2018,483.405,5095.917,1.50723701436628
"578",2019,483.405,5095.917,1.99064703496569
"579",2020,483.405,5095.917,2.2609879770948
"580",1998,483.142,5091.807,1.06498567195716
"581",2012,483.39,5092.352,1.91109681572688
"582",2013,483.294,5091.978,2.15971194324407
"583",2000,483.53,5092.852,2.38277800883452
"584",2017,484.444,5093.265,1.59005903681356
"585",2018,484.444,5093.265,1.39416229672201
"586",2019,484.444,5093.265,1.96419612863655
"587",2019,482.977,5089.847,2.29958822277333
"588",2007,480.624,5087.575,3.05866292312118
"589",1999,479.495,5087.431,1.32240466569369
"590",2000,481.474,5087.513,2.70412713637606
"591",2018,481.533,5087.37,1.73765013818315
"592",1998,480.865,5085.72,0.745313446618812
"593",2001,480.865,5085.72,3.51037270959614
"594",2004,480.865,5085.72,3.13821871291992
"595",2010,480.865,5085.72,3.50236406535465
"596",2019,480.865,5085.72,2.62114936092862
"597",2001,478.293,5085.327,3.30376130485897
"598",2015,477.634,5084.913,2.17959622844024
"599",1999,487.584,5091.884,0.833227320067925
"600",2002,487.584,5091.884,3.43157892290004
