"","yr","UTM_E_km","UTM_N_km","est"
"506",2019,471.444,4856.059,5.02648264137529
"507",2016,471.444,4856.059,4.98103309810528
"508",2018,471.444,4856.059,4.87194469406526
"509",2015,446.879,4874.848,4.90224866688953
"510",2016,446.879,4874.848,4.60064138647937
"511",2017,446.879,4874.848,4.83232681296792
"512",2008,446.879,4874.848,4.20923538183959
"513",2009,446.879,4874.848,4.93583870150386
"514",2010,446.879,4874.848,4.74242913240075
"515",2011,446.879,4874.848,4.87651498452692
"516",2012,446.879,4874.848,4.82399011846291
"517",2013,446.879,4874.848,4.89070657341453
"518",2014,446.879,4874.848,4.54219248024149
"519",2019,440.537,4869.428,5.74730222421335
"520",2015,440.537,4869.428,5.97039950797975
"521",2016,440.537,4869.428,5.60478405650528
"522",2017,440.537,4869.428,5.9024093786733
"523",2008,440.537,4869.428,5.27836483355776
"524",2010,440.537,4869.428,5.81362371499323
"525",2011,440.537,4869.428,5.9155851912243
"526",2012,440.537,4869.428,5.86272219407635
"527",2013,440.537,4869.428,5.95202709933205
"528",2014,440.537,4869.428,5.5720920928183
"529",2007,444.309,4872.006,4.45777851546766
"530",2007,429.013,4878.826,0.608263942090746
"531",2008,429.013,4878.826,0.3168608851999
"532",2007,442.287,4878.113,4.63453532689024
"533",2008,442.287,4878.113,4.23474769074015
"534",2019,411.5,4891.411,5.58133002134792
"535",2015,411.496,4891.413,5.73520462650952
"536",2016,411.496,4891.413,5.44838129265235
"537",2017,411.496,4891.413,5.6940852329309
"538",2018,411.496,4891.413,5.45531017883047
"539",1998,411.5,4891.411,4.73243443693406
"540",1999,411.5,4891.411,4.65554583384603
"541",2000,411.5,4891.411,5.58484294209618
"542",2001,411.5,4891.411,5.64367717441103
"543",2002,411.5,4891.411,5.68202784730941
"544",2003,411.5,4891.411,5.7454025991903
"545",2004,411.5,4891.411,5.65775148923398
"546",2005,411.5,4891.411,5.49411907039441
"547",2006,411.5,4891.411,6.00409554388209
"548",2007,411.5,4891.411,5.71617261569825
"549",2008,411.5,4891.411,5.35476820007284
"550",2009,411.5,4891.411,5.75581569164151
"551",2010,411.5,4891.411,5.80061295006459
"552",2011,411.5,4891.411,5.61567958187581
"553",2012,411.5,4891.411,5.81507799182747
"554",2013,411.5,4891.411,5.89008964814373
"555",2014,411.5,4891.411,5.46360242779115
"556",2019,414.483,4895.496,2.99281684718238
"557",2015,414.483,4895.496,3.01942890877633
"558",2016,414.483,4895.496,2.74640445227809
"559",2017,414.483,4895.496,2.96308085073007
"560",2018,414.483,4895.496,2.79643762257191
"561",2019,415.12,4902.052,5.43203556108218
"562",2015,415.12,4902.052,5.52693460521871
"563",2016,415.12,4902.052,5.28680307590496
"564",2017,415.12,4902.052,5.45506340378882
"565",2018,415.12,4902.052,5.21647423069399
"566",1998,415.12,4902.052,4.52715533105077
"567",1999,415.12,4902.052,4.4058261165513
"568",2000,415.12,4902.052,5.34115989256074
"569",2001,415.12,4902.052,5.46012654835441
"570",2002,415.12,4902.052,5.47809477474067
"571",2003,415.12,4902.052,5.53654267577728
"572",2004,415.12,4902.052,5.50552115775502
"573",2005,415.12,4902.052,5.27396382045785
"574",2006,415.12,4902.052,5.83513525176176
